cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,cpr,cprprediction,cprpredictionnext,pastactcdr,cdr,cdrprediction,cdrpredictionnext,date
36225A2B5,780770,X,SP,19980401,1486609.91,161659.1432364604,2099.14,384176.1006713317,6,6.5,282,70,,0.5808221049382467,0.3888330002368817,0.10011526390832381,0.10004667749685836,,0,0.00039549570544095136,0.00039558819504514897,2021-08-01
36225A2C3,780771,X,SP,19980401,473808,36678.71796406603,,130720.04896620434,6,6.5,333,24,,0.10479100210334735,0.23379213906316998,0.21285750658287306,0.21258181036667667,,0,0.0008234014876846718,0.0008235731175185723,2021-08-01
36225A2E9,780773,X,SP,19980401,429289.95,43865.04828301303,,224166.44355578534,7,7.5,298,58,,0.15266264591273382,0.045226592091900164,0.10929179387098542,0.10923380004033345,,0,0.0019840435074883755,0.0019761678233459756,2021-08-01
36225A2H2,780776,X,SP,19980401,644825.69,122307.1232181872,,334301.46692684,6.5,7,281,74,,0.060196198146236,0.028730516031634568,0.1084084066995219,0.1083182214362094,,0,0.005031597549545075,0.005013643558452463,2021-08-01
36225A2J8,780777,X,SP,19980401,341000.27,43184.30996720501,,191712.02051149937,7,7.5,284,68,,0.12160853855906595,0.021202062990393733,0.1017683780913693,0.10169992586168075,,0,0.0003961473664567672,0.0003959093021713711,2021-08-01
36225A2U3,780787,X,SP,19980501,19882.43,,,4597.22560870302,8.5,9,349,9,,0.5177714231341091,0.15567376883605066,0.305692177173165,0.30567575656605384,,0,0.0005520263660561131,0.0005519524031492029,2021-08-01
36225A2V1,780788,X,SP,19980501,415943.98,99987.0100458621,,280364.1604907598,6.5,7,282,73,,0.03116392285850733,0.006076697037319279,0.09101370325824099,0.09097260731657175,,0,0.0005926229053728749,0.0005926418661060806,2021-08-01
36225A3A6,780793,X,SP,19980501,788427.72,104711.14285120997,,306039.4011697237,6.5,7,281,72,,0.041208209938754736,0.016895301029036025,0.1010007520175239,0.10091911989261926,,0,0.0011570741998603307,0.0011363970798023981,2021-08-01
36225A3B4,780794,X,SP,19980501,158141.54,14712.62655492909,,38910.2218828441,8.5,9,282,73,,0.010436476771678471,0.011861118803276671,0.10943929192365331,0.10943929192365331,,0,0.00040700649001423894,0.00040700649001423894,2021-08-01
36225A3C2,780795,X,SP,19980501,56988.99,861.1128272260968,,47529.80344630371,8.5,9,286,66,,0.009849494158365335,0.004113074101844694,0.08700480143239164,0.0869540839152172,,0,0.000797436632616999,0.0007976626962511446,2021-08-01
36225A3D0,780796,X,SP,19980501,30188.98,3336.482520279893,,5154.536030452531,8,8.5,350,9,,0.4648754376097717,0.1452264477217865,0.34855002688637826,0.34853208427439497,,0,0.00038283899778668307,0.000381689069864688,2021-08-01
36225A3E8,780797,X,SP,19980501,654171.66,18671.110458813826,,1002.1653012575546,7,7.5,282,69,,0.09210661444294743,0.16197725797168383,0.10253241063129293,0.10241126660687683,,0.007622191285247659,0.0018822313807947966,0.001828354096135798,2021-08-01
36225A3F5,780798,X,SP,19980501,374811.54,2181.4076267516853,,141702.85795474472,7.5,8,288,65,,0.04663007244099082,0.19151963240563774,0.08810885151548531,0.08804137411846358,,0,0.0006955430263763107,0.0006956023781344856,2021-08-01
36225A3G3,780799,X,SP,19980501,105089.99,19790.579741784975,,52258.15466942406,8,8.5,282,74,,0.0011718407070513415,0.011458883067884895,0.09469301011754505,0.09466338441846345,,0,0.0011034682684581965,0.0011033723073745616,2021-08-01
36225A3K4,780802,X,SP,19980501,757057.97,245011.73980127106,,403079.6002406937,6.5,7,280,71,,0.026388014360953505,0.029083473022422868,0.09063592110083063,0.09055212651053524,,0,0.00038285331250798027,0.00038276024092442906,2021-08-01
