cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,cpr,cprprediction,cprpredictionnext,pastactcdr,cdr,cdrprediction,cdrpredictionnext,date
36225A4Z0,780840,M,SP,19980801,114286.92,36996.141987464434,,,8.5,9.143,292,62,,0.6007994936134193,0.028619573630988993,0.13337663524332022,0.13292546531041882,,0,0.0033837620474276298,0.00338190769267821,2021-08-01
36225A5B2,780842,M,SP,19980801,25056.38,,,,8.5,9.243,292,58,,0.1395035061511921,0.0020519943704343513,0.11241461552850163,0.11235529191487126,,0,0.0006115298647787482,0.0006115042981174046,2021-08-01
36225AGG9,780199,M,SP,19950701,2719.11,,,,9.5,10,315,42,,0.004217530124343005,0.004046309467149234,0.1528704917966056,0.15286916808698503,,0,0.0003610065451778999,0.00036106049289119646,2021-08-01
36225AW97,780672,M,SP,19971101,277220.43,,,,7,7.809,286,66,,0.0817573952555366,0.11333086497818712,0.10694027797422112,0.10654559995894564,,0,0.0010107790181377307,0.001003979806068367,2021-08-01
36225AXA3,780673,M,SP,19971101,554426.71,,,,7,7.809,286,66,,0.08175670511345823,0.11333113355560087,0.10694015723199035,0.10654548137369313,,0,0.0010107802441163827,0.0010039810443974728,2021-08-01
36225AXT2,780690,M,SP,19971201,751687.35,,,,7,7.792,286,67,,0.04935689097275575,0.06732524006817164,0.10158942551777639,0.10133839429030356,,0,0.0013675154382203347,0.0013628968936389985,2021-08-01
36225AXV7,780692,M,SP,19971201,324897.48,92107.54430762227,,203940.52961514774,7,7.776,288,65,,0.03823418141341273,0.02888989201750858,0.09990594656356877,0.09957647407368608,,0,0.0019681956430251946,0.0018093545845753178,2021-08-01
36225AZD5,780740,M,SP,19980301,25143.32,9743.612417635606,,,8,8.691,304,51,,0.11069083291724047,0.305921283307486,0.12178661481469488,0.12143180285858635,,0,0.002952452727738475,0.0029261586000500772,2021-08-01
36225AZM5,780748,M,SP,19980301,511052.7,,,51.10526938681035,7,7.776,285,66,,0.10024202108226621,0.21467914300986346,0.09954777444688456,0.09938498175088151,,0,0.002105097536682865,0.002092840272518437,2021-08-01
36225AZN3,780749,M,SP,19980301,511042.89,462032.57954385976,,100.49781049040742,7,7.776,285,66,,0.10026173245362091,0.2148365866503834,0.09954988443457402,0.09938712024231766,,0,0.0021042028481635944,0.0020919627436454258,2021-08-01
36225B4D7,781720,M,SP,20040301,565166.48,,,,7,7.76,299,54,,0.14858851685843277,0.2362680945631641,0.1159905640856439,0.11448890977521864,,0,0.006722483782270361,0.005224687076461176,2021-08-01
36225B4E5,781721,M,SP,20040301,199747.84,,,,7.5,8.266,299,55,,0.03394714045000735,0.15995000428544504,0.11013855673790385,0.10981811902095484,,0,0.0007370333261000894,0.0007370682894450864,2021-08-01
36225B5J3,781749,M,SP,20040501,4151644.06,3727446.5873733754,,,6,6.601,221,126,,0.13473326222112714,0.1958810919355447,0.15153897062007993,0.1488026410875477,,0.04089011928432351,0.018300018573644605,0.015344174452563863,2021-08-01
36225B5Z7,781764,M,SP,20040701,61645286.78,679145.9819709096,,1885825.2942863945,5.5,5.891,208,138,,0.18379692854005758,0.17362689319968605,0.18559741617010472,0.1825201174787059,,0.016764486316031224,0.021529484742247806,0.018063097154234375,2021-08-01
36225BD21,781021,M,SP,19990401,131678.91,,,,8,8.69,302,53,,0.16133805183897987,0.30510592225482236,0.1169340336757081,0.11654865888730337,,0,0.0016587498758939834,0.001641105293944567,2021-08-01
