cusip,name,indicator,type,issuedate,currface,cfincmo,cfinfed,cfinplat,coupon,gwac,wala,wam,va,pastactcpr,curractualcpr,cprprediction,cprpredictionnext,pastactcdr,curractualcdr,cdrprediction,cdrpredictionnext,date
36179M2N9,MA0781,M,SF,20130201,263665264.22,171559920.43321773,61393797.39,5738373.055191794,2.5,3.022,103,246,,0.28,0.29582110593586597,0.24670246103216897,0.24474894778163203,0.0066938207940405725,0.008129118130786095,0.017104935944248334,0.01530123365825753,2021-08-01
36179M2P4,MA0782,M,SF,20130201,4158178998.9,84456816.38071379,3180258599.13,35842.236918564486,3,3.309,103,245,,0.275,0.25805711151695654,0.26239529525428373,0.2596513704602441,0.03231029226379023,0.020062224118671756,0.02547333743254987,0.02251467057036749,2021-08-01
36179M2Q2,MA0783,M,SF,20130201,628488542.49,165880412.72590014,369118459.04,10237923.165246898,3.5,3.817,103,245,,0.316,0.2953706431539481,0.2646608483919153,0.2602655793251222,0.08067403317555433,0.05582348796523218,0.03998247834095847,0.03468701492400372,2021-08-01
36179M2R0,MA0784,M,SF,20130201,33729454.13,1542630.8799938557,2334930.1,,4,4.37,108,240,,0.21100000000000002,0.445489629966618,0.25993632000671063,0.25731849047531374,0.045479520866960055,0.17685082501697225,0.043889227723079904,0.040960601411396125,2021-08-01
36179M2S8,MA0785,M,SF,20130201,12833003.42,414923.59846189717,9623158.16,145003.9137677681,4.5,4.9,126,218,,0.11900000000000001,0.22917857677999964,0.22533682909975472,0.22476574419823903,0,0,0.0019960086512514907,0.001989470454097697,2021-08-01
36179M2T6,MA0786,M,SF,20130201,8131122.57,1722049.1796304248,,1632574.2896225085,5,5.407,151,196,,0.102,0.15332271929524954,0.19185499215700663,0.1916168396290574,0,0,0.0058038802699685865,0.005805190644970426,2021-08-01
36179M2U3,MA0787,M,SF,20130201,3654534.86,3590749.6458664644,,54439.17966194703,5.5,5.959,196,152,,0.35700000000000004,0.2762627292092362,0.19906316220161602,0.19815895691719276,0,0,0.019383203876822575,0.018816115463559213,2021-08-01
36179M2V1,MA0788,M,SF,20130201,3507940.97,1965331.4216062413,,,6,6.43,171,175,,0.013999999999999999,0.011460859437658732,0.16496210126472866,0.1644606705109236,0,0,0.012399360769474232,0.012186112252004833,2021-08-01
36179M2W9,MA0789,M,SF,20130201,930881.92,354447.74160084507,,,6.5,6.865,184,157,,0.8079999999999999,0.5318078145207161,0.15095387577610608,0.15074030826917195,0,0,0.0005516466521587882,0.0005522602631163886,2021-08-01
36179M4H0,MA0824,M,SF,20130301,19686710.68,109046.15017714181,,,2,2.469,102,73,,0.297,0.3296555320861321,0.17694834821823235,0.17626626388436473,0,0,0.005224753205945509,0.004950788268684558,2021-08-01
36179M4J6,MA0825,M,SF,20130301,116488253.5,5844800.373850364,,6610114.833975697,2.5,2.834,101,72,,0.22399999999999998,0.1895134247149839,0.2009401649293463,0.2001169423665744,0.005081523781012454,0.014707180595768254,0.007409666797581482,0.006846707487056958,2021-08-01
36179M4K3,MA0826,M,SF,20130301,37756993.11,,,227498.38869839814,3,3.353,101,71,,0.212,0.25145259046234547,0.1912044469223083,0.18929189516656497,0.038019644580801315,0.043684878979550756,0.016491164063867414,0.01468137697891958,2021-08-01
36179M4L1,MA0827,M,SF,20130301,1473270.83,1105231.284026568,,73745.13600983642,3.5,3.969,101,74,,0.03,0.023101555829313503,0.14711360680925512,0.14683096311511035,0,0,0.0010995280404081376,0.0010995132741543623,2021-08-01
36179M5K2,MA0850,M,SF,20130301,235465148.64,157477940.18946028,52055633.97,5003100.065041146,2.5,3.042,102,247,,0.25,0.2551824127142799,0.2513939619527469,0.24949530423896749,0.019249426059027797,0.014107813922577872,0.017027351796015222,0.015343289425043372,2021-08-01
36179M5L0,MA0851,M,SF,20130301,3332061422.5,41299714.44500829,2261598342.63,88920.08263536643,3,3.317,102,246,,0.275,0.26587209117501553,0.26988229566908783,0.2675094654149014,0.027257077890190606,0.026085403005417063,0.022697104194677187,0.02030464598896553,2021-08-01
36179M5M8,MA0852,M,SF,20130301,824571969.83,15248797.681705352,208654243.86,8689722.756150834,3.5,3.806,102,246,,0.294,0.27663815453210583,0.2795502203766296,0.27443375873944353,0.05438946503916597,0.04782329952497011,0.05021024773424554,0.04400452186827397,2021-08-01
36179M5N6,MA0853,M,SF,20130301,38524244.39,,28246773.87,,4,4.395,112,234,,0.344,0.09922791200998538,0.2735766117146059,0.2680024710516845,0.06282769368897156,0.028594928479401593,0.05799542369074662,0.0513527877100568,2021-08-01
36179M5P1,MA0854,M,SF,20130301,18305234.08,39821.67947874376,5143951.4,87551.75569277954,4.5,4.935,127,221,,0.255,0.29539393604234143,0.2505249899807491,0.24865894174334735,0.034067025579526344,0.029116955957196544,0.024171359428300176,0.022733424791069212,2021-08-01
